TY,T1,AU,JO,VL,SP,PY,DA,SN,DO,UR,KW,AB,EP,IS,T2,We,In
,,"Liu, Junfeng",,,,,,,,,Sentiment analysis,,,,,,
,,"Kang, Zhongfeng",,,,,,,,,Key items,,,,,,
,,"Zhou, Zenghui",,,,,,,,,Interpretability,,,,,,
JOUR,SKEAFN: Sentiment Knowledge Enhanced Attention Fusion Network for multimodal sentiment analysis,"Zhu, Chuanbo",Information Fusion,100,101958,2023,2023/12/01/,1566-2535,https://doi.org/10.1016/j.inffus.2023.101958,https://www.sciencedirect.com/science/article/pii/S1566253523002749,Multi-view learning,"Multimodal sentiment analysis is an active research field that aims to recognize the user’s sentiment information from multimodal data. The primary challenge in this field is to develop a high-quality fusion framework that effectively addresses the heterogeneity among different modalities. However, prior research has primarily concentrated on intermodal interactions while neglecting the semantic sentiment information conveyed by words in the text modality. In this paper, we propose the Sentiment Knowledge Enhanced Attention Fusion Network (SKEAFN), a novel end-to-end fusion network that enhances multimodal fusion by incorporating additional sentiment knowledge representations from an external knowledge base. Firstly, we construct an external knowledge enhancement module to acquire additional representations for the text modality. Then, we design a text-guided interaction module that facilitates the interaction between text and the visual/acoustic modality. Finally, we propose a feature-wised attention fusion module that achieves multimodal fusion by dynamically adjusting the weights of the additional and each modality’s representations. We evaluate our method on three challenging multimodal sentiment analysis datasets: CMU-MOSI, CMU-MOSEI, and Twitter2019. The experiment results demonstrate that our model significantly outperforms the state-of-the-art models. The source code is publicly available at https://github.com/doubibobo/SKEAFN.",,,,,
,,"Chen, Min",,,,,,,,,Multiple feature fusion,,,,,,
,,"Zhang, Sheng",,,,,,,,,Multimodal sentiment analysis,,,,,,
,,"Sun, Chao",,,,,,,,,External knowledge,,,,,,
,,"Liang, Han",,,,,,,,,Multi-head attention,,,,,,
,,"Liu, Yifan",,,,,,,,,,,,,,,
,,"Chen, Jincai",,,,,,,,,,,,,,,
JOUR,Enhancing aspect-category sentiment analysis via syntactic data augmentation and knowledge enhancement,"Liu, Bin",Knowledge-Based Systems,264,110339,2023,2023/03/15/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110339,https://www.sciencedirect.com/science/article/pii/S0950705123000898,Aspect-category sentiment analysis,"The goal of aspect-category sentiment analysis (ACSA) is to predict the sentiment polarity toward a specific aspect category from reviewers’ expressed opinions in a sentence. With the boom of pretrained language models, various relative methods have achieved significant improvements in ACSA. However, two major issues still remain to be solved. First, most of these studies usually follow the canonical method of fine-tuning on limited labeled data, neglecting to leverage external knowledge to further enhance ACSA performance. Second, aspect categories are usually abstract concepts that are mentioned explicitly or implicitly, and the corresponding different sentiment polarities are not easy to accurately recognize. To address these issues, we first transform the ACSA task into a sentence-pair classification task with natural language inference, constructing synthetic sentences as hypotheses based on the predefined aspect categories and the prompt-generation sentence template. Then the model applies a passivization transformation to the synthetic sentences and generates more syntactic data to augment the limited training data. Furthermore, we enhance ACSA with curated knowledge from a common sense knowledge graph. Finally, different representations are synergistically fused with a gating mechanism to output richer sentiment features and enable context-, syntax-, and knowledge-aware predictions. Experimental results on three challenging benchmark datasets show that the proposed model outperforms some competitive baselines.",,,,,
,,"Lin, Tao",,,,,,,,,Data augmentation,,,,,,
,,"Li, Ming",,,,,,,,,Natural language inference,,,,,,
,,,,,,,,,,,Pretrained language model,,,,,,
JOUR,Aspect-based sentiment analysis via multitask learning for online reviews,"Zhao, Guoshuai",Knowledge-Based Systems,264,110326,2023,2023/03/15/,0950-7051,https://doi.org/10.1016/j.knosys.2023.110326,https://www.sciencedirect.com/science/article/pii/S095070512300076X,Aspect-based sentiment analysis,"Aspect based sentiment analysis(ABSA) aims to identify aspect terms in online reviews and predict their corresponding sentiment polarity. Sentiment analysis poses a challenging fine-grained task. Two typical subtasks are involved: Aspect Term Extraction (ATE) and Aspect Polarity Classification (APC). These two subtasks are usually trained discretely, which ignores the connection between ATE and APC. Concretely, we can relate ATE to APC through aspects and train them concurrently. We mainly use the ATE task as an auxiliary task, allowing the APC to focus more on relevant aspects to facilitate aspect polarity classification. In addition, previous studies have shown that utilizing dependency syntax information with a graph neural network (GNN) also contributes to the performance of the APC task. However, most studies directly input sentence dependency relations into graph neural networks without considering the influence of aspects, which do not emphasize the important dependency relationships. To address these issues, we propose a multitask learning model combining APC and ATE tasks that can extract aspect terms as well as classify aspect polarity simultaneously. Moreover, we exploit multihead attention(MHA) to associate dependency sequences with aspect extraction, which not only combines both ATE and APC tasks but also stresses the significant dependency relations, enabling the model to focus more on words closely related to aspects. According to our experiments on three benchmark datasets, we demonstrate that the connection between ATE and APC can be better established by our model, which enhances aspect polarity classification performance significantly. The source code has been released on GitHub https://github.com/winder-source/MTABSA.",,,,,
,,"Luo, Yiling",,,,,,,,,Aspect polarity classification,,,,,,
,,"Chen, Qiang",,,,,,,,,Aspect term extraction,,,,,,
,,"Qian, Xueming",,,,,,,,,BERT,,,,,,
,,,,,,,,,,,Relational graph attention network,,,,,,
,,,,,,,,,,,Multi-head attention,,,,,,
JOUR,Leveraging hierarchical language models for aspect-based sentiment analysis on financial data,"Lengkeek, Matteo",Information Processing & Management,60,103435,2023,2023/09/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103435,https://www.sciencedirect.com/science/article/pii/S0306457323001723,Text data,"Every day millions of news articles and (micro)blogs that contain financial information are posted online. These documents often include insightful financial aspects with associated sentiments. In this paper, we predict financial aspect classes and their corresponding polarities (sentiment) within sentences. We use data from the Financial Question & Answering (FiQA) challenge, more precisely the aspect-based financial sentiment analysis task. We incorporate the hierarchical structure of the data by using the parent aspect class predictions to improve the child aspect class prediction (two-step model). Furthermore, we incorporate model output from the child aspect class prediction when predicting the polarity. We improve the F1 score by 7.6% using the two-step model for aspect classification over direct aspect classification in the test set. Furthermore, we improve the state-of-the-art test F1 score of the original aspect classification challenge from 0.46 to 0.70. The model that incorporates output from the child aspect classification performs up to par in polarity classification with our plain RoBERTa model. In addition, our plain RoBERTa model outperforms all the state-of-the-art models, lowering the MSE score by at least 28% and 33% for the cross-validation set and the test set, respectively.",,5,,,
,,"van der Knaap, Finn",,,,,,,,,Financial aspect classes,,,,,,
,,"Frasincar, Flavius",,,,,,,,,Polarity,,,,,,
,,,,,,,,,,,Hierarchical structure of data,,,,,,
JOUR,HOMOCHAR: A novel adversarial attack framework for exposing the vulnerability of text based neural sentiment classifiers,"Bajaj, Ashish",Engineering Applications of Artificial Intelligence,126,106815,2023,2023/11/01/,0952-1976,https://doi.org/10.1016/j.engappai.2023.106815,https://www.sciencedirect.com/science/article/pii/S0952197623009995,Adversarial attack,"State-of-the-art deep learning algorithms have demonstrated remarkable proficiency in the task of text classification. Despite the widespread use of deep learning-based language models, there remains much work to be done in order to improve the security of these models. This is particularly concerning for their growing use in sensitive applications, such as sentiment analysis. This study demonstrates that language models possess inherent susceptibility to textual adversarial attacks, wherein a small number of words or characters are modified to produce an adversarial text that deceives the machine into producing erroneous predictions while maintaining its true meaning for human readers. The current study offers HOMOCHAR, a novel textual adversarial attack that operates within a black box setting. The proposed method generates more robust adversarial examples by considering the task of perturbing a text input with transformations at the character level. The objective is to deceive a target NLP model while adhering to specific linguistic constraints in a way such that the perturbations are imperceptible to humans. Comprehensive experiments are performed to assess the effectiveness of the proposed attack method against several popular models, including Word-CNN, Word-LSTM along with five powerful transformer models on two benchmark datasets, i.e., MR & IMDB utilized for sentiment analysis task. Empirical findings indicate that the proposed attack model consistently attains significantly greater attack success rates (ASR) and generates high-quality adversarial examples when compared to conventional methods. The results indicate that text-based sentiment prediction techniques can be circumvented, leading to potential consequences for existing policy measures.",,,,,
,,"Vishwakarma, Dinesh Kumar",,,,,,,,,Vulnerability,,,,,,
,,,,,,,,,,,Transformers,,,,,,
,,,,,,,,,,,Natural language processing) NLP,,,,,,
,,,,,,,,,,,Sentiment classification,,,,,,
JOUR,Quantum Fuzzy Neural Network for multimodal sentiment and sarcasm detection,"Tiwari, Prayag",Information Fusion,,102085,2023,2023/10/20/,1566-2535,https://doi.org/10.1016/j.inffus.2023.102085,https://www.sciencedirect.com/science/article/pii/S1566253523004013,Multimodal fusion,"Sentiment and sarcasm detection in social media language contribute to judging social opinion trends. Over the years, most artificial intelligence (AI) methods have used real values to characterize the sentimental and sarcastic features in language. These methods overlook the complexity and uncertainty of sentimental and sarcastic elements in human language. Therefore, this paper proposes the Quantum Fuzzy Neural Network (QFNN), a multimodal fusion and multitask learning algorithm with a Seq2Seq structure that combines Classical and Quantum Neural Networks. QFNN integrates fuzzy logic and Quantum Neural Networks. Complex numbers are used for the Fuzzifier to capture sentiment and sarcasm features, and Quantum Neural Networks are used for the Defuzzifier to get the predicted results. The experiments were conducted on classical computers and constructed quantum circuits in a simulated noisy environment. The results show the performance of QFNN in sarcasm and sentiment detection outperforms RCNN-RoBERTa and UPB-MTL on the Mustard and Memotion datasets. Moreover, by detecting the fidelity of quantum circuits in a noisy environment, QFNN was found to have excellent robustness.",,,,,
,,"Zhang, Lailei",,,,,,,,,Quantum Neural Networks,,,,,,
,,"Qu, Zhiguo",,,,,,,,,Sarcasm and sentiment detection,,,,,,
,,"Muhammad, Ghulam",,,,,,,,,Fuzzy logic,,,,,,
JOUR,BERT base model for toxic comment analysis on Indonesian social media,"Nabiilah, Ghinaa Zain",Procedia Computer Science,216,714,2023,2023/01/01/,1877-0509,https://doi.org/10.1016/j.procs.2022.12.188,https://www.sciencedirect.com/science/article/pii/S1877050922022669,Toxic Comment,"Social media is an online media that functions as a platform for users to participate, share, create, and exchange information through various forums and social networks. The rapid increase in social media activity causes an increase in the number of comments on social media. This is prone to triggering debate due to the easy formation of open discussions between social media users. However, the debate often triggers the emergence of negative things, causing great fights on social media. Social media users often use comments containing toxic words to argue and corner a party or group. This study conducted an experiment to detect comments containing toxic sentences on social media in Indonesia using a Pre-Trained Model that was trained for Indonesian. This study performed a multilabel classification and evaluated the classification results generated by the Multilingual BERT (MBERT), IndoBERT, and Indo Roberta Small models. The optimal result of this study is to use the IndoBERT model with an F1 Score of 0.8897.",721,,7th International Conference on Computer Science and Computational Intelligence 2022,,
,,"Prasetyo, Simeon Yuda",,,,,,,,,MBERT,,,,,,
,,"Izdihar, Zahra Nabila",,,,,,,,,IndoBERT,,,,,,
,,"Girsang, Abba Suganda",,,,,,,,,IndoRoBERTa Small,,,,,,
,,,,,,,,,,,Indonesian social media,,,,,,
JOUR,Real-time social media sentiment analysis for rapid impact assessment of floods,"Bryan-Smith, Lydia",Computers & Geosciences,178,105405,2023,2023/09/01/,0098-3004,https://doi.org/10.1016/j.cageo.2023.105405,https://www.sciencedirect.com/science/article/pii/S0098300423001097,Social media,"Traditional approaches to flood modelling mostly rely on hydrodynamic physical simulations. While these simulations can be accurate, they are computationally expensive and prohibitively so when thinking about real-time prediction based on dynamic environmental conditions. Alternatively, social media platforms such as Twitter are often used by people to communicate during a flooding event, but discovering which tweets hold useful information is the key challenge in extracting information from posts in real time. In this article, we present a novel model for flood forecasting and monitoring that makes use of a transformer network that assesses the severity of a flooding situation based on sentiment analysis of the multimodal inputs (text and images). We also present an experimental comparison of a range of state-of-the-art deep learning methods for image processing and natural language processing. Finally, we demonstrate that information induced from tweets can be used effectively to visualise fine-grained geographical flood-related information dynamically and in real-time.",,,,,
,,"Godsall, Jake",,,,,,,,,Sentiment analysis,,,,,,
,,"George, Franky",,,,,,,,,Flooding,,,,,,
,,"Egode, Kelly",,,,,,,,,Artificial Intelligence,,,,,,
,,"Dethlefs, Nina",,,,,,,,,,,,,,,
,,"Parsons, Dan",,,,,,,,,,,,,,,
JOUR,Comparison of neutrosophic approach to various deep learning models for sentiment analysis,"Sharma, Mayukh",Knowledge-Based Systems,223,107058,2021,2021/07/08/,0950-7051,https://doi.org/10.1016/j.knosys.2021.107058,https://www.sciencedirect.com/science/article/pii/S095070512100321X,Neutrosophy,"Deep learning has been widely used in numerous real-world engineering applications and for classification problems. Real-world data is present with neutrality and indeterminacy, which neutrosophic theory captures clearly. Though both are currently developing research areas, there has been little study on their interlinking. We have proposed a novel framework to implement neutrosophy in deep learning models. Instead of just predicting a single class as output, we have quantified the sentiments using three membership functions to understand them better. Our proposed model consists of two blocks, feature extraction, and feature classification. Having a separate feature extraction block enables us to use any model as a feature extractor. We experimented with BiLSTM using GloVe (Global Vectors for word representation), BERT (Bidirectional Encoder Representations from Transformers), ALBERT (A Lite BERT), RoBERTa (Robustly optimized BERT approach), MPNet, and stacked ensemble models. Feature classification performs prediction and dimensionality reduction of features. Experimental analysis was done on the SemEval 2017 Task 4 dataset (Subtask A). We used the intermediate layer features to define membership functions of Single Valued Neutrosophic Sets (SVNS). We used these membership functions for prediction as well. We have compared our models with the top five teams of the task and recent state-of-the-art systems. Our proposed stacked ensemble model achieved the best recall (0.733) score.",,,,,
,,"Kandasamy, Ilanthenral",,,,,,,,,Sentiment analysis,,,,,,
,,"Vasantha, W.B.",,,,,,,,,BiLSTM,,,,,,
,,,,,,,,,,,ALBERT,,,,,,
,,,,,,,,,,,RoBERTa,,,,,,
,,,,,,,,,,,BERT,,,,,,
,,,,,,,,,,,MPNet,,,,,,
,,,,,,,,,,,Stacked ensemble,,,,,,
JOUR,Contrastive learning from label distribution: A case study on text classification,"Qian, Tao",Neurocomputing,507,208,2022,2022/10/01/,0925-2312,https://doi.org/10.1016/j.neucom.2022.07.076,https://www.sciencedirect.com/science/article/pii/S0925231222009523,Text classification,"State-of-the-art text classification models are dominated by deep neural networks, but they still struggle to the issue of poor generalization ability when using cross entropy loss for training. One of the reasons is the training samples are usually annotated with hard labels, ignoring the inter-label relationship among these labels. This results in the outputted distributions to violate the label-correlation. Although the widely used contrastive learning is able to learn highly-expressive feature representations that generalize well across the training and test sets, contrastive learning in the embedding space is difficult to model the label correlation and may still output unreasonable label distributions. In this paper, we suggest contrastive learning using label distributions and present a novel label-level contrastive learning (LLCL) paradigm, which can constrain the unreasonable label distributions from model outputs. We hypothesize that the label distributions of the instances in the same class are more similar than those from other classes. We introduce two label-level contrastive learning losses, namely supervised contrastive learning and self-supervised contrastive learning. After adding our proposed losses to the cross-entropy loss as regularizer for the training text classification model, our model obtains the average improvement of 0.74% over the strong RoBERTa-Large baseline on ten datasets. Particularly, our contrastive learning in the label space can effectively capture label correlations better than that in the embedding space, achieving an improvement of 6.2% in the top-2 accuracy on the SST-5 dataset. We also demonstrate that our proposed method is more effective, especially in the text classification tasks with a large label space or limited labeled data. Last but not least, our model does not rely on any kind of specialized architectures, data augmentation methods, or additional unsupervised data.",220,,,,
,,"Li, Fei",,,,,,,,,Contrastive learning,,,,,,
,,"Zhang, Meishan",,,,,,,,,Label distribution,,,,,,
,,"Jin, Guonian",,,,,,,,,Deep neural network,,,,,,
,,"Fan, Ping",,,,,,,,,,,,,,,
,,"Dai, Wenhua",,,,,,,,,,,,,,,
JOUR,WikiDes: A Wikipedia-based dataset for generating short descriptions from paragraphs,"Ta, Hoang Thang",Information Fusion,90,265,2023,2023/02/01/,1566-2535,https://doi.org/10.1016/j.inffus.2022.09.022,https://www.sciencedirect.com/science/article/pii/S1566253522001610,Text summarization,"As free online encyclopedias with massive volumes of content, Wikipedia and Wikidata are key to many Natural Language Processing (NLP) tasks, such as information retrieval, knowledge base building, machine translation, text classification, and text summarization. In this paper, we introduce WikiDes, a novel dataset to generate short descriptions of Wikipedia articles for the problem of text summarization. The dataset consists of over 80k English samples on 6987 topics. We set up a two-phase summarization method — description generation (Phase I) and candidate ranking (Phase II) — as a strong approach that relies on transfer and contrastive learning. For description generation, T5 and BART show their superiority compared to other small-scale pre-trained models. By applying contrastive learning with the diverse input from beam search, the metric fusion-based ranking models outperform the direct description generation models significantly up to ≈ 22 ROUGE in topic-exclusive split and topic-independent split. Furthermore, the outcome descriptions in Phase II are supported by human evaluation in over 45.33% chosen compared to 23.66% in Phase I against the gold descriptions. In the aspect of sentiment analysis, the generated descriptions cannot effectively capture all sentiment polarities from paragraphs while doing this task better from the gold descriptions. The automatic generation of new descriptions reduces the human efforts in creating them and enriches Wikidata-based knowledge graphs. Our paper shows a practical impact on Wikipedia and Wikidata since there are thousands of missing descriptions. Finally, we expect WikiDes to be a useful dataset for related works in capturing salient information from short paragraphs. The curated dataset is publicly available at: https://github.com/declare-lab/WikiDes.",282,,,,
,,"Rahman, Abu Bakar Siddiqur",,,,,,,,,Contrastive learning,,,,,,
,,"Majumder, Navonil",,,,,,,,,Sentiment analysis,,,,,,
,,"Hussain, Amir",,,,,,,,,Metric fusion,,,,,,
,,"Najjar, Lotfollah",,,,,,,,,Wikipedia,,,,,,
,,"Howard, Newton",,,,,,,,,Wikidata,,,,,,
,,"Poria, Soujanya",,,,,,,,,,,,,,,
,,"Gelbukh, Alexander",,,,,,,,,,,,,,,
JOUR,Crossmodal bipolar attention for multimodal classification on social media,"Cheung, Tsun-hin",Neurocomputing,514,1,2022,2022/12/01/,0925-2312,https://doi.org/10.1016/j.neucom.2022.09.140,https://www.sciencedirect.com/science/article/pii/S092523122201236X,Multimodal classification,"Multimodal classification of social media is used to classify data from different modalities into different categories, which is essential for understanding user behavior on the web. In this paper, we focus on classifying image-text pairs, specifically user-generated content on social media. Recently, the transformer network, a kind of self-attention network, has been widely studied in the disciplines of visual computing and language processing. In the attention mechanism, positive correlation is considered. However, multimedia content posted on social media is diverse. Images and text are not always consistent, and contrary information is also helpful for representation. Therefore, it is equally important to detect conflicts based on negative or inverse attention. Inspired by the attention mechanism, we propose a novel model, namely Crossmodal Bipolar Attention Network (CBAN). Different from existing positive dot-product and additive attention mechanisms, we propose a bipolar attention mechanism, which fuses visual and textual information through their direct and inverse semantic relationships to classify multimodal data. We conducted experiments on multiple multimodal classification data sets, for performing sentiment analysis, sarcasm detection, crisis categorization and hate-speech detection. Experimental results show that our proposed CBAN consistently outperforms state-of-the-art methods in all classification tasks.",12,,,,
,,"Lam, Kin-man",,,,,,,,,Attention mechanism,,,,,,
,,,,,,,,,,,Social media mining,,,,,,
JOUR,Unified benchmark for zero-shot Turkish text classification,"Çelik, Emrecan",Information Processing & Management,60,103298,2023,2023/05/01/,0306-4573,https://doi.org/10.1016/j.ipm.2023.103298,https://www.sciencedirect.com/science/article/pii/S0306457323000353,Text classification,"Effective learning schemes such as fine-tuning, zero-shot, and few-shot learning, have been widely used to obtain considerable performance with only a handful of annotated training data. In this paper, we presented a unified benchmark to facilitate the problem of zero-shot text classification in Turkish. For this purpose, we evaluated three methods, namely, Natural Language Inference, Next Sentence Prediction and our proposed model that is based on Masked Language Modeling and pre-trained word embeddings on nine Turkish datasets for three main categories: topic, sentiment, and emotion. We used pre-trained Turkish monolingual and multilingual transformer models which can be listed as BERT, ConvBERT, DistilBERT and mBERT. The results showed that ConvBERT with the NLI method yields the best results with 79% and outperforms previously used multilingual XLM-RoBERTa model by 19.6%. The study contributes to the literature using different and unattempted transformer models for Turkish and showing improvement of zero-shot text classification performance for monolingual models over multilingual models.",,3,,,
,,"Dalyan, Tuğba",,,,,,,,,Zero-shot learning,,,,,,
,,,,,,,,,,,Next sentence prediction,,,,,,
,,,,,,,,,,,Natural language inference,,,,,,
,,,,,,,,,,,Masked language modeling,,,,,,
JOUR,ASK-RoBERTa: A pretraining model for aspect-based sentiment classification via sentiment knowledge mining,"You, Lan",Knowledge-Based Systems,253,109511,2022,2022/10/11/,0950-7051,https://doi.org/10.1016/j.knosys.2022.109511,https://www.sciencedirect.com/science/article/pii/S0950705122007584,Aspect-based sentiment classification,"The main objective of aspect-based sentiment classification (ABSC) is to predict sentiment polarities of different aspects from sentences or documents. Recent research integrates sentiment terms into pretraining models whose accuracy impacts the ABSC performance. This paper introduces a sentiment knowledge-adaptive pretraining model (ASK-RoBERTa). A sentiment word dictionary is first built from general and field sentiment words. We develop a series of term and sentiment mining rules based on part-of-speech tagging and sentence dependency grammar. These mining rules consider word dependencies, compounding, and conjunctions. The pretraining model optimizes the mining rules to capture the dependency between aspects and sentiment words. Experimental results on multiple public benchmark datasets demonstrate the satisfactory performance of ASK-RoBERTa.",,,,,
,,"Han, Fanyu",,,,,,,,,RoBERTa,,,,,,
,,"Peng, Jiaheng",,,,,,,,,Sentiment knowledge,,,,,,
,,"Jin, Hong",,,,,,,,,Dependency grammar,,,,,,
,,"Claramunt, Christophe",,,,,,,,,Knowledge mining,,,,,,
JOUR,"A Multitask learning model for multimodal sarcasm, sentiment and emotion recognition in conversations","Zhang, Yazhou",Information Fusion,93,282,2023,2023/05/01/,1566-2535,https://doi.org/10.1016/j.inffus.2023.01.005,https://www.sciencedirect.com/science/article/pii/S1566253523000040,Multimodal sarcasm recognition,"Sarcasm, sentiment and emotion are tightly coupled with each other in that one helps the understanding of another, which makes the joint recognition of sarcasm, sentiment and emotion in conversation a focus in the research in artificial intelligence (AI) and affective computing. Three main challenges exist: Context dependency, multimodal fusion and multitask interaction. However, most of the existing works fail to explicitly leverage and model the relationships among related tasks. In this paper, we aim to generically address the three problems with a multimodal joint framework. We thus propose a multimodal multitask learning model based on the encoder–decoder architecture, termed M2Seq2Seq. At the heart of the encoder module are two attention mechanisms, i.e., intramodal (Ia) attention and intermodal (Ie) attention. Ia attention is designed to capture the contextual dependency between adjacent utterances, while Ie attention is designed to model multimodal interactions. In contrast, we design two kinds of multitask learning (MTL) decoders, i.e., single-level and multilevel decoders, to explore their potential. More specifically, the core of a single-level decoder is a masked outer-modal (Or) self-attention mechanism. The main motivation of Or attention is to explicitly model the interdependence among the tasks of sarcasm, sentiment and emotion recognition. The core of the multilevel decoder contains the shared gating and task-specific gating networks. Comprehensive experiments on four bench datasets, MUStARD, Memotion, CMU-MOSEI and MELD, prove the effectiveness of M2Seq2Seq over state-of-the-art baselines (e.g., CM-GCN, A-MTL) with significant improvements of 1.9%, 2.0%, 5.0%, 0.8%, 4.3%, 3.1%, 2.8%, 1.0%, 1.7% and 2.8% in terms of Micro F1.",301,,,,
,,"Wang, Jinglin",,,,,,,,,Sentiment analysis,,,,,,
,,"Liu, Yaochen",,,,,,,,,Emotion recognition,,,,,,
,,"Rong, Lu",,,,,,,,,Multitask learning,,,,,,
,,"Zheng, Qian",,,,,,,,,Affective computing,,,,,,
,,"Song, Dawei",,,,,,,,,,,,,,,
,,"Tiwari, Prayag",,,,,,,,,,,,,,,
,,"Qin, Jing",,,,,,,,,,,,,,,
JOUR,D-NEXUS: Defending text networks using summarization,"Gupta, Anup Kumar",Electronic Commerce Research and Applications,54,101171,2022,2022/07/01/,1567-4223,https://doi.org/10.1016/j.elerap.2022.101171,https://www.sciencedirect.com/science/article/pii/S1567422322000552,Sentiment analysis,"Sentiment analysis is an important tool for understanding consumer sentiment in e-commerce platforms. Usually, it is performed using Deep Neural Networks (DNNs), owing to their strong predictive and generalization capabilities. Unfortunately, DNNs are prone to adversarial attacks, which involve introducing imperceptible changes in the data with the deliberate motive of “fooling” the target model. It can lead to far-reaching consequences and pose an alarming issue to the credibility of e-commerce platforms. The existing text-based defenses, such as spelling correction and adversarial training, are largely ineffective against state-of-the-art adversarial attacks, most of which deal in word replacement, insertion, and deletion. We introduce an effective transformation-based defense strategy, D-NEXUS (DefeNding tEXt networks Using Summarization). It overcomes the drawbacks of existing defenses by summarising the input text before feeding it into the target model. Our extensive experiments on publicly available datasets show that D-NEXUS successfully defends against state-of-the-art attacks, in a time-efficient manner.",,,,,
,,"Rastogi, Aryan",,,,,,,,,Natural language processing,,,,,,
,,"Paliwal, Vardhan",,,,,,,,,Adversarial defense,,,,,,
,,"Nassar, Fyse",,,,,,,,,Transformers,,,,,,
,,"Gupta, Puneet",,,,,,,,,Adversarial attack,,,,,,
,,,,,,,,,,,Language summarization,,,,,,
